588|512
587|513
590|514
586|514
587|515
586|515
588|510
591|512
591|511
592|513
589|509
591|510
585|516
592|516
585|517
593|511
592|517
591|518
588|507
582|512
586|519
583|517
585|507
595|512
587|506
587|520
581|512
582|517
592|507
583|519
594|518
594|508
588|521
596|513
581|517
590|521
596|510
591|505
595|518
595|508
584|521
580|517
588|522
589|522
594|520
595|519
580|518
591|504
579|516
584|522
581|506
588|503
594|505
578|514
598|514
590|523
586|523
598|511
593|504
598|516
584|503
599|513
587|502
589|502
577|512
590|502
583|503
577|511
590|524
583|523
585|502
579|506
585|524
591|502
581|522
582|503
598|519
592|524
600|512
579|521
587|501
578|506
585|501
582|524
582|502
594|502
579|522
587|500
590|526
590|500
591|526
601|516
578|522
598|504
578|504
592|500
593|500
588|527
577|522
582|500
